Datum,Temperatura
2000-10-1,16.2
2000-11-1,11.2
2000-12-1,7.6
2001-01-1,5.1
2001-02-1,6.3
2001-03-1,9.5
2001-04-1,12.9
2001-05-1,17.5
2001-06-1,22.1
2001-07-1,24.7
2001-08-1,24.3
2001-09-1,20.8
2001-10-1,15.9
2001-11-1,10.8
2001-12-1,6.5
2002-01-1,5.2
2002-02-1,6.2
2002-03-1,10.0
2002-04-1,12.4
2002-05-1,17.4
2002-06-1,22.0
2002-07-1,24.6
2002-08-1,24.2
2002-09-1,20.2
2002-10-1,15.7
2002-11-1,11.3
2002-12-1,7.4
2003-01-1,4.9
2003-02-1,6.0
2003-03-1,10.0
2003-04-1,13.3
2003-05-1,18.0
2003-06-1,21.9
2003-07-1,25.0
2003-08-1,24.4
2003-09-1,20.7
2003-10-1,16.2
2003-11-1,10.7
2003-12-1,7.1
2004-01-1,5.0
2004-02-1,7.3
2004-03-1,10.0
2004-04-1,12.9
2004-05-1,17.8
2004-06-1,22.3
2004-07-1,24.8
2004-08-1,23.9
2004-09-1,20.0
2004-10-1,16.1
2004-11-1,10.4
2004-12-1,6.4
2005-01-1,4.7
2005-02-1,5.6
2005-03-1,9.9
2005-04-1,13.0
2005-05-1,17.6
2005-06-1,21.9
2005-07-1,24.5
2005-08-1,24.3
2005-09-1,20.7
2005-10-1,15.8
2005-11-1,11.2
2005-12-1,7.1
2006-01-1,5.2
2006-02-1,7.1
2006-03-1,11.1
2006-04-1,13.2
2006-05-1,17.8
2006-06-1,22.0
2006-07-1,24.3
2006-08-1,23.9
2006-09-1,20
2006-10-1,15.4
2006-11-1,10.4
2006-12-1,5.5
2007-01-1,4.8
2007-02-1,7.2
2007-03-1,10.8
2007-04-1,12.9
2007-05-1,17.6
2007-06-1,22.3
2007-07-1,25.2
2007-08-1,25.1
2007-09-1,21.3
2007-10-1,15.8
2007-11-1,11.0
2007-12-1,6.8
2008-01-1,5.0
2008-02-1,6.6
2008-03-1,10.7
2008-04-1,13.4
2008-05-1,17.5
2008-06-1,22.2
2008-07-1,24.8
2008-08-1,24.0
2008-09-1,20.3
2008-10-1,16.3
2008-11-1,11.4
2008-12-1,7.4
2009-01-1,5.2
2009-02-1,6.2
2009-03-1,10.5
2009-04-1,12.8
2009-05-1,17.3
2009-06-1,22.0
2009-07-1,24.7
2009-08-1,23.8
2009-09-1,20.0
2009-10-1,15.9
2009-11-1,11.3
2009-12-1,6.9
2010-01-1,3.8
2010-02-1,7.2
2010-03-1,10.3
2010-04-1,12.8
2010-05-1,17.1
2010-06-1,21.6
2010-07-1,24.4
2010-08-1,23.4
2010-09-1,20.0
2010-10-1,15.4
2010-11-1,10.4
2010-12-1,6.2
2011-01-1,4.8
2011-02-1,6.3
2011-03-1,9.8
2011-04-1,13.3
2011-05-1,16.8
2011-06-1,21.6
2011-07-1,24.5
2011-08-1,23.8
2011-09-1,20.5
2011-10-1,16.1
2011-11-1,10.6
2011-12-1,6.4
2012-01-1,4.4
2012-02-1,7.1
2012-03-1,10.0
2012-04-1,12.9
2012-05-1,17.7
2012-06-1,22.3
2012-07-1,25.1
2012-08-1,24.2
2012-09-1,20.5
2012-10-1,16.1
2012-11-1,10.6
2012-12-1,6.8
2013-01-1,6.0
2013-02-1,5.5
2013-03-1,9.9
2013-04-1,13.0
2013-05-1,16.9
2013-06-1,20.9
2013-07-1,24.7
2013-08-1,25.1
2013-09-1,21.3
2013-10-1,15.6
2013-11-1,10.2
2013-12-1,6.9
2014-01-1,5.8
2014-02-1,7.6
2014-03-1,11.1
2014-04-1,13.3
2014-05-1,17.5
2014-06-1,21.3
2014-07-1,23.9
2014-08-1,23.4
2014-09-1,20.1
2014-10-1,15.6
2014-11-1,9.9
2014-12-1,6.7
2015-01-1,4.6
2015-02-1,7.5
2015-03-1,11.2
2015-04-1,12.9
2015-05-1,17.6
2015-06-1,22.4
2015-07-1,23.9
2015-08-1,23.7
2015-09-1,19.9
2015-10-1,14.9
2015-11-1,10.2
2015-12-1,6.2
2016-01-1,5.1
2016-02-1,7.8
2016-03-1,10.9
2016-04-1,14.0
2016-05-1,17.6
2016-06-1,22.5
2016-07-1,24.3
2016-08-1,23.7
2016-09-1,20.2
2016-10-1,16.0
2016-11-1,10.6
2016-12-1,5.5
2017-01-1,6.1
2017-02-1,7.1
2017-03-1,11.2
2017-04-1,13.5
2017-05-1,17.1
2017-06-1,22.3
2017-07-1,25.0
2017-08-1,23.9
2017-09-1,21.3
2017-10-1,16.0
2017-11-1,10.2
2017-12-1,5.5
2018-01-1,6.0
2018-02-1,8.5
2018-03-1,10.5
2018-04-1,14.2
2018-05-1,17.8
2018-06-1,22.1
2018-07-1,26.0
2018-08-1,23.9
2018-09-1,21.1
2018-10-1,16.2
2018-11-1,10.7
2018-12-1,7.3
2019-01-1,7.3
2019-02-1,7.8
2019-03-1,11.0
2019-04-1,13.6
2019-05-1,18.2
2019-06-1,22.7
2019-07-1,26.3
2019-08-1,24.0
2019-09-1,20.8
2019-10-1,15.9
2019-11-1,10.8
2019-12-1,6.9
2020-01-1,5.5
2020-02-1,9.0
2020-03-1,10.8
2020-04-1,14.3
2020-05-1,18.2
2020-06-1,22.3
2020-07-1,26.3
2020-08-1,25.4
2020-09-1,21.5
2020-10-1,16.4
2020-11-1,11.1
2020-12-1,6.9
